ProbeID,M,R1,R2,R3,R4,R5,Common Name
1428089_at,0.01,0.04,0.29,0.2,0.67,0.24,3200001I04Rik
1430335_a_at,0.45,0.14,0.3,0.03,0.87,0.35,Pax3; Sp; Pax-3; splotch
1417678_at,0.69,0.99,0.54,0.83,0.36,0.04,Mmp24
1433919_at,6.56E-004,0.75,0.12,0.7,0.48,0.25,Asb4
1421996_at,0.94,0.17,0.22,0.74,0.01,0.26,Tcfap2a
1422465_a_at,0.02,0.04,0.79,0.64,0.35,0.24,Nxn
1435382_at,0.01,0.06,0.25,0.87,0.45,0.77,Ndn
1436370_at,0.93,0.55,0.52,0.89,0.14,0.77,Gucy2c
1423311_s_at,0,0.24,0.76,0.49,0.11,0.73,Tpbg
1418139_at,0.02,0.94,0.05,0.07,0.13,0.12,Dcx
1450165_at,0.52,0.87,0.19,1,0.09,0.32,Slfn2
1452278_a_at,0.76,0.34,0.34,0.81,0.18,0.57,BC025474
1428130_at,0.38,0.27,0.08,0.74,0.15,0.04,Lman1
1428392_at,0.29,0.02,0.49,0.27,0.53,0.91,9030412M04Rik
1419818_x_at,0.92,0.38,0.45,0.81,0.03,0.39,D1Ertd161e
1422596_at,0.81,0.88,0.02,0.07,0.4,0.17,C030019F02Rik
1418712_at,0,0.43,0.73,0.39,0.17,0.12,Cdc42ep5
1422277_at,0.15,0.28,0.21,0.53,0.01,0.64,Glra1
1419078_at,0.16,0.88,0.09,0.14,0.04,0.09,Nin
1423506_a_at,0.68,0.16,0.64,0.82,0.05,0,Nnat
1418507_s_at,8.99E-004,0.53,0.63,0.65,0.32,0,D130043N08Rik
1452114_s_at,0.53,0.04,0.4,0.61,0.95,0.01,Igfbp5
1417434_at,0.06,0.91,0.37,0.15,0.33,0.14,Gpd2
1425796_a_at,0.04,0.06,0.02,0.02,0.03,0.14,Fgfr3
1424866_at,0.62,0.68,0.92,0.35,0.06,0.97,C630032K07Rik
1428706_at,0.01,0.28,0.32,0.23,0.18,0.29,3110013H01Rik
1451277_at,0.79,0.92,0.88,0.68,0.13,0.02,C530046K17Rik
1451901_at,0.71,0.63,0.39,0.8,0.13,0.79,Smarca3
1448754_at,0.55,1.85E-004,0.12,0.11,0.86,0.56,Rbp1
1451888_a_at,0.01,0.2,0.13,0.62,0.11,0.01,Odz4
1416313_at,0.01,0.2,0.05,0.78,0.11,0.19,Af1q-pending
1423522_at,0.01,4.64E-004,0.46,0.19,0.76,0.57,Npm3
1423895_a_at,0.65,0.01,0.06,0.65,0.18,0.16,Cugbp2
1423499_at,0.18,0.54,0.03,0.83,0.23,0.48,Sncaip
1417400_at,0.68,0.71,0.37,0.33,0.02,0.04,1700020L11Rik
1424633_at,0,0.16,0.82,0.52,0.32,0.14,Camk1g
1417473_a_at,0.45,0.87,0.7,0.63,0.28,0.85,6330579B17Rik
1423063_at,0.02,0.03,0.62,0.64,0.69,0.91,Dnmt3a
1420377_at,0.24,0.81,0.18,0.32,0.01,0.71,Siat8b
1416658_at,0.64,0.09,0.12,0.01,0.35,0.72,Frzb
1435326_at,0.01,0.05,0.5,0.79,0.34,0.35,NA
1454904_at,0.57,0.55,0.19,0.36,0.22,0.02,NA
1448475_at,0.14,0.14,0.84,0.02,0.01,5.65E-004,2810002E22Rik
1425157_x_at,0.02,0.34,0.96,0.69,0.28,0.61,MGC30714
1422165_at,7.06E-004,0.01,0.12,0.5,0.18,0.22,Pou3f4
1421141_a_at,0.04,0.3,0.49,0.62,0.21,0.37,Foxp1
1417930_at,0.21,0.39,0.31,0.01,0.94,3.81E-004,Nab2
1417976_at,3.96E-004,0.03,0.56,0.83,0.4,0.96,Ada
1448673_at,0.54,0.32,0.66,0.1,0.59,0.01,Pvrl3
1448289_at,0.41,0.19,0.48,0.12,0.02,0.16,Crmp1
1429400_at,0.08,0.28,0.48,0.77,0.4,0.03,NA
1449681_at,0.89,0.2,0.01,0.66,0.38,0.31,Hdgf
1420498_a_at,0.1,0.54,0.04,0.2,0.11,0,Dab2
1421027_a_at,0.39,0.3,0.72,0.05,0,0,Mef2c
1426584_a_at,0.46,0.94,0.39,0.02,0.88,0.73,Sdh1
1449002_at,0.01,0.3,0.45,0.8,0.68,0.75,Phlda3
1425602_a_at,0.19,0.51,0.88,0.72,0.81,0.55,Fra-pending
1449154_at,0.51,0.82,0.54,0.76,0.73,0.07,Col11a1
1449240_at,0.65,0.15,0.02,0.98,0.02,0.31,Gsbs-pending
1418478_at,0.64,0.03,0.19,0.16,0.01,0.13,Lmo1
1416666_at,0,0.01,0.31,0.72,0.14,0.86,Serpine2
1430127_a_at,0.41,0.22,0.08,0.3,0.09,0.13,Ccnd2
1450779_at,0.22,0.17,0.02,0.01,0.15,0.34,Fabp7
1427689_a_at,0.22,0.14,0.23,0.35,0.01,0,Tnip1
1417625_s_at,0.19,0.09,0.24,0.18,0.07,3.22E-004,Cmkor1
1423537_at,0.03,0.37,0.1,0.16,0.58,0.05,Gap43
1450710_at,4.05E-004,0,0.08,0.63,0.7,0.47,Jmj
1452451_at,0.69,0.89,0.77,0.32,0.16,0.55,Bean-pending
1426599_a_at,8.28E-004,0.62,0.35,0.78,0.24,0.91,Slc2a1
1419089_at,0.07,0.17,0.1,0.76,0.01,0.02,Timp3
1451753_at,0.04,0.94,0.09,0.51,0.05,0.07,Plxna2
1435578_s_at,0,0,0.92,0.31,0.75,0.29,C630028C02Rik
1452368_at,0.01,0.05,0.69,0.13,0.18,0.85,5133400C09Rik
1431598_a_at,0.61,0.55,0.96,0.32,0.16,0.87,Lhx9
1421992_a_at,0.49,0.43,0.3,0.26,0.02,0.98,Igfbp4
1451674_at,0.3,0.31,0.19,0.48,0,0.01,Slc12a5
1453060_at,0.01,0.62,0.97,0.5,0.71,0.15,6530413N01Rik
1452454_at,0.11,0.78,0.18,0.49,0.79,0.06,4931421J16
1424246_a_at,0,0.07,0.88,0.77,0.48,0.54,Tes
1428816_a_at,0.43,0.84,0.54,0.96,6.69E-004,0.42,Gata2; Gata-2
1423594_a_at,0.06,0.48,0.71,0.04,0,0.06,Ednrb
1451718_at,0.31,0.03,0.01,0.32,0.34,0.09,Plp
1450967_at,0.01,0.01,0.9,0.92,0.64,0.89,4933428I03Rik
1421947_at,0.24,0.94,0.12,0.4,0.84,0,Gng12
1435924_at,0.43,0.74,0.54,0.37,0.94,0.1,Tfb1m
1428667_at,0.46,0.3,0.67,0.09,0.03,0.3,Maoa
1417872_at,0.18,0.45,0.01,0.02,0.08,0.13,Fhl1
1417051_at,0.01,0.02,0.17,0.12,0.76,0.75,Pcdh8
1426955_at,0.65,0.5,0.9,0.78,0.57,0.02,Col18a1
1426529_a_at,0,0.04,0.1,0.22,0.39,0.94,Tagln2
1418525_at,0.71,0.93,0.93,0.9,0.67,0.04,Pcm1
1418823_at,0.31,0.58,0.12,0.83,0.09,0.93,Arf6
1415691_at,0.02,0.1,0.56,0.63,0.46,0.3,Dlgh1
1449713_at,0.85,0.86,0.48,0.98,0.25,0.64,D15Ertd417e
1460214_at,0.22,0.3,0.01,0.22,8.61E-004,0.55,Pcp4
1448661_at,0.3,0.66,0.68,0.01,0.82,0.75,Plcb3
1423790_at,0.51,0.21,0.42,0.98,0.79,0.03,MGC6998
1425505_at,0,0.03,0.22,0.2,0.78,0.73,Mylk
1448229_s_at,0.02,0.01,0.1,0.28,0.12,0.23,Ccnd2
1452298_a_at,0.58,0.04,0.88,0.02,0.14,0.01,Myo5b
1418271_at,0.23,0.11,0.24,0.19,8.80E-005,0.53,Bhlhb5
1417230_at,0.89,0.36,0.86,0.17,0.26,0.02,4921528G01Rik
1426243_at,0,0.05,0.17,0.58,0.41,0.84,Cth
1451191_at,0.05,0.07,0.16,0.03,0.02,0.01,Crabp2
1415938_at,2.01E-004,0.89,0.38,0.48,0.94,0.28,Spink3
1416325_at,0.73,0.37,0.88,0.79,0.27,0.61,Aeg1
1460173_at,0.01,0.09,0.5,0.32,0.6,0.35,Lasp1
1455956_x_at,0.32,0.05,0.1,0.79,0.09,0.08,Ccnd2
1418346_at,0.11,0.23,5.19E-005,0,0.48,0.76,Insl6
1435113_x_at,0,0.19,0.11,0.21,0.07,0.06,Stmn3
1451716_at,0.05,0.84,0.01,0.27,0.19,0.1,Mafb
1437062_s_at,0.46,0.55,0.42,0.78,0.04,0.04,4921522K17Rik
1437853_x_at,0,0.07,0.49,0.36,0.21,0.84,Ndn
1416053_at,0.04,0.73,0,0.01,0.49,0.52,Lrrn1
1433471_at,0,0.42,0.86,0.71,0.93,0.85,Tcf7
1421882_a_at,0,0.17,0.37,0.35,0.93,0.49,Elavl2
1449109_at,0,0.5,0.32,0.4,0.51,0.09,Socs2
1416740_at,0.09,0.63,0.22,0.01,0.2,0.01,Col5a1
1448928_at,0,0.05,0.57,0.92,0.24,0.47,Hdac6
1423260_at,0.1,0.01,0.18,0.59,0.05,0.33,Idb4
1435420_at,1.80E-004,0.45,0.38,0.42,0.88,0.31,C330016K18Rik
1455098_a_at,0.89,0.12,0.04,0.82,0.27,0.34,Vtn
1417524_at,0.16,0.34,0.07,0.33,0.95,0,Cnil
1435551_at,0.15,0.25,0.11,0.04,0.11,0.01,NA
1426215_at,0.29,0.49,0.08,0.01,0.66,0.78,Ddc
1460370_at,0.25,0.27,0.21,0.01,0.75,0.02,2900052H09Rik
1416424_at,0,0.14,0.65,0.21,0.36,0.14,1300012C15Rik
1418157_at,0.03,0.07,0.09,0.01,0.53,0.04,Nr2f1
1422232_at,0.05,0.21,0.01,0.04,4.79E-004,0.31,Phox2b
1434500_at,0.74,0.23,0.02,0.17,0.04,0.76,1110001A03Rik
1422068_at,6.59E-005,0.21,0.63,0.75,0.35,0.18,Pou3f1
1423526_at,0.74,0.09,0.21,0,0.02,0.08,Dri2
1429110_a_at,0.86,0.66,0.36,0.06,0.28,0.49,2810405F18Rik
1426571_at,8.18E-006,0.72,0.03,0.45,0.67,0.28,AU040576
1417862_at,5.33E-004,0.55,0.39,0.54,0.42,0.14,A830059I20Rik
1460187_at,0.04,0.77,0.55,0.66,0.08,5.14E-004,Sfrp1
1448147_at,0,8.65E-004,0.65,0.34,0.1,0.22,Tnfrsf19
1427105_at,0.63,0.02,0.85,0.79,0.08,0.81,2610510J17Rik
1423424_at,0.52,0.62,0.01,0.01,0.15,0.07,Zic3
1449314_at,0.75,0.51,0.71,0.97,0.1,0.79,Zfpm2
1460302_at,0.04,0.12,0.02,0.01,0.37,0.01,Thbs1
1416688_at,0.07,0.73,0.41,0.59,0.69,0.36,Snap91
1425483_at,0.1,0.82,0.3,0.01,0.07,0.01,Tox
1421369_a_at,0.01,0.43,0.46,0.41,0.34,0.18,Mab21l1
1433845_x_at,0.02,0.22,0.2,0.74,0.14,0.79,Dusp9
1460038_at,2.32E-005,0.32,0.69,0.34,0.1,0.26,NA
1423340_at,2.11E-004,0.48,0.58,0.11,0.31,0.13,Tcfap2b
1419573_a_at,0,0.32,0.52,0.29,0.37,0.11,Lgals1
1427682_a_at,0.16,0.15,0.17,0.35,0.07,7.98E-005,Egr2
1451047_at,8.45E-005,0.34,0.98,0.44,0.27,0.02,Itm2a
1450857_a_at,0.04,0.5,0.91,0.09,0.03,0,Col1a2
1417355_at,0.04,0.12,0.06,0.14,0.23,0.13,Peg3
1449053_s_at,0.43,0.35,0.29,0.04,0.31,0.24,Cog1
1416148_at,0.01,0.35,0.92,0.91,0.36,0.79,Laptm4b
1452718_at,0.58,0.74,0.1,0.02,0.23,0.38,4432411E13Rik
1418237_s_at,0.59,0.27,0.48,0.25,0.58,0.02,Col18a1
1450990_at,0.03,0.85,0.06,0,0.46,0.87,Gpc3
1449947_s_at,0,0.33,0.27,0.16,0.45,0.84,A230102L03Rik
1427981_a_at,0.63,0.26,0.16,0.34,0.37,0.52,Csad
1426258_at,0.73,0.52,0.17,0.83,0.01,0.67,Sorl1
1417680_at,1.75E-005,0.78,0.28,0.35,0.27,0.64,Kcna5
1460309_at,0,0.74,0.79,0.35,0.96,0.93,Tal2
1427633_a_at,0.19,0.82,0.37,0.41,0.97,0.05,Pappa
1433639_at,0.05,0.05,0.06,0.01,0.4,0.01,5730593F17Rik
1416617_at,0.28,0.3,0.05,0.03,0.95,0.31,Acas2l
1454708_at,6.95E-004,0.07,0.11,0.2,0.09,0.4,4833406P10Rik
1437052_s_at,0.55,0.1,0.01,0.01,0.91,0.76,Slc2a3
1417526_at,0,0.03,0.52,0.48,0.79,0.26,Pcbp3
1448383_at,0.03,0.34,0.11,0.24,0.7,0.05,Mmp14
1452421_at,0.34,0.55,0.35,0.41,0,5.73E-005,5730446D14Rik
1434479_at,0.06,0.81,0.86,0.26,0.1,0,Col5a1
1460256_at,0,0.87,0.28,0.58,0.88,0.93,Car3
1449530_at,0,0.02,0.18,0.8,0.27,0.93,Trps1
1448601_s_at,0.03,0.06,0.09,9.61E-004,0.31,0.07,Msx1
1425212_a_at,0.01,0.14,0.45,0.27,0.22,0.21,Tnfrsf19
1426980_s_at,9.51E-005,0,0.11,0.73,0.88,0.32,E130012A19Rik
1455350_at,0.81,0.57,0.52,0.88,0.04,0.08,B830009D23Rik
1423677_at,0.42,0.35,0.09,0.02,0.66,0.02,Fkbp9
1455792_x_at,0,0.06,0.39,0.24,0.52,0.72,Ndn
1416778_at,0.23,0.4,0.68,0.81,0.24,0.04,Sdpr
1419281_a_at,0.76,0.37,0.64,0.36,0.37,0.04,Zfp259
1419217_at,0.83,0.02,0.61,0.58,0.55,0.76,Gnefr-pending
1449319_at,0.33,0.13,0,0.23,0.75,0.13,R-spondin
1418451_at,0.81,0.04,0.17,0.04,0.18,0.02,Gng2
1419602_at,0.05,0.04,0.12,1.84E-004,0.03,0,Hoxa2
1449137_at,2.07E-004,0.97,0.21,0.84,0.44,0.45,Pdha1
1421425_a_at,0.37,0.37,0.41,0.44,0.67,2.06E-004,Dscr1l1
1425213_at,0.05,0.08,0.04,0.11,0.5,0.16,6430514L14Rik
1427100_at,0.02,0,0.13,0.64,0.17,0.22,1810034B16Rik
1422444_at,6.39E-004,0.14,0.06,0.34,0.29,0.19,Itga6
1420518_a_at,0,0.05,0.66,0.8,0.42,0.96,Igsf9
1439380_x_at,0.56,0.2,0.04,0.08,0.02,0.74,NA
1416612_at,0.12,0.93,0.12,0.04,4.51E-004,0.29,Cyp1b1
1423824_at,0,0.8,0.23,0.46,0.12,0.1,5031439A09Rik
1437195_x_at,0.74,0.01,0.05,0.4,0.54,0.26,Mapk10
1420427_a_at,0.01,0.49,0.69,0.73,0.28,0.75,AA408140
1449434_at,0,0.03,0.2,0.44,0.58,0.35,Car3
1426864_a_at,0.43,0.47,0.01,0.06,0.03,0.21,Ncam1
1424852_at,0.16,0.16,0.28,0.02,0.01,6.29E-004,5430401D19Rik
1431962_a_at,0.9,0.74,0.94,0.17,0.04,0.23,Stambp
1418599_at,0.26,0.8,0.11,0.13,0.4,0,Col11a1
1448321_at,0.06,0.05,0.02,0.03,0.34,0.22,Smoc1
1421929_at,0.04,0.05,0.03,6.70E-005,0.95,2.00E-004,Epha4
1427883_a_at,0.22,0.01,0.26,0.83,0.21,0.38,Col3a1
1418195_at,4.20E-004,0.76,0.28,0.88,0.09,0.7,Galnt9
1420484_a_at,0.08,0.09,0.01,0.37,0.03,0.55,Vtn
1418881_at,0,0.63,0.75,0.1,0.78,0.59,Necab2-pending
1433509_s_at,0.32,0.3,0.98,0.61,0.03,0.48,D6Ertd253e
1422164_at,0,0.04,0.27,0.93,0.56,0.26,Pou3f4
1421597_a_at,0.04,0.01,0.44,0.03,0.48,0.65,Msx3
1452670_at,0.24,0.85,0.99,0.01,0.9,0.11,Myl9
1418714_at,0.11,0.5,0.24,0.95,0.06,0.41,Dusp8
1418601_at,0.61,0.65,0.67,0.71,0.02,0,Aldh1a7
