"ids","r2","r3","r4","r5","name"
"1437237_x_at",0.85,1.31,0.87,1.16,"Zfp110"
"1423529_at",0.92,0.22,1.65,1.06,"G6pc-rs"
"1455975_x_at",1.05,1.49,0.99,1.04,"Zfp313"
"1429491_s_at",0.94,1.31,0.77,1.22,"6530403D07Rik"
"1423286_at",1.52,1.05,0.97,0.58,"Cbln1"
"1436819_at",1.42,0.76,0.95,1.04,Sep-06
"1423832_at",0.67,0.93,1.02,1.31,"2410051C13Rik"
"1421112_at",1,0.76,1.59,0.95,"Nkx2-2"
"1421425_a_at",0.56,1.06,0.65,3.7,"Dscr1l1"
"1422879_at",1.02,0.86,0.95,1.47,"Sypl"
"1448074_at",1.81,1.56,0.72,0.26,"Rln1"
"1435184_at",1.06,1.5,0.93,0.65,"B430320C24Rik"
"1450923_at",0.84,0.75,1.03,1.61,"Tgfb2"
"1423754_at",1.35,0.92,1.06,0.92,"Fgls-pending"
"1438685_at",1.01,1.4,0.93,0.9,"D4Wsu24e"
"1423477_at",0.77,1.38,0.85,1.17,"Zic1"
"1451122_at",0.78,1.09,0.95,1.36,"Idi1"
"1416658_at",1.04,1.39,0.62,0.91,"Frzb"
"1427475_a_at",0.72,1.05,0.89,1.31,"Nrap"
"1455956_x_at",0.84,1.19,0.72,1.53,"Ccnd2"
"1422558_at",0.76,1.27,0.74,1.48,"Gamt"
"1455484_at",1.25,0.98,1.35,0.6,"2600009P04Rik"
"1415892_at",1.32,1.18,0.75,0.99,"Sgpl1"
"1420498_a_at",1.04,0.92,0.9,1.51,"Dab2"
"1423972_at",0.95,0.88,1.08,1.66,"Etfa"
"1434353_at",0.85,1.21,0.73,1.38,"Sfmbt2"
"1448113_at",0.92,1.18,0.51,1.05,"Stmn1"
"1418620_at",0.82,0.93,2.15,0.65,"Phox2a"
"1425767_a_at",1.14,0.94,0.78,1.34,"Six4"
"1419033_at",1.13,0.91,0.82,1.5,"Mst4"
"1427307_a_at",1.06,0.88,1.37,0.95,"Dab1"
"1417091_at",0.9,1.2,0.76,1.32,"Chuk"
"1418237_s_at",0.82,1.05,0.89,1.33,"Col18a1"
"1423544_at",1.17,0.86,2.02,0.83,"Ptpn5"
"1433942_at",1.14,0.91,1.32,0.58,"Myo6"
"1450789_at",0.82,1.21,0.8,1.8,"Rhpn1"
"1424745_at",0.98,1.22,0.54,0.93,"2900006B13Rik"
"1423331_a_at",0.79,0.96,0.92,1.4,"Pvrl3"
"1455898_x_at",1.21,1.42,0.72,0.8,"Slc2a3"
"1420696_at",0.93,0.77,1.09,1.3,"Sema3c"
"1418497_at",0.92,1.23,0.68,1.43,"Fgf13"
"1452010_at",1.72,0.93,1.22,0.73,"Chrna3"
"1424699_at",1.3,1.05,1.01,0.71,"LOC232664"
"1429183_at",0.84,1.04,0.98,1.46,"1200008D14Rik"
"1426340_at",1.02,1.2,0.54,1.11,"Slc1a3"
"1454708_at",0.87,1.04,0.57,1.51,"4833406P10Rik"
"1427191_at",1.3,0.94,1.11,0.62,"LOC230103"
"1416855_at",0.97,1.04,0.51,1.03,"Gas1"
"1421728_at",0.92,1.25,0.7,1.34,"Olig3"
"1421386_at",0.93,0.92,1.03,1.41,"Ankrd6"
"1422130_at",1.33,0.85,1.54,0.79,"Nptx1"
"1426869_at",1.41,1.29,0.85,0.57,"Boc"
"1428888_at",0.48,0.89,1.3,1.32,"1600019D15Rik"
"1416681_at",0.74,1.23,0.85,1.36,"Ube3a"
"1423735_a_at",0.9,1.08,0.83,1.34,"5730444A13Rik"
"1416840_at",0.89,1.04,1.01,1.39,"3110038L01Rik"
